asin,title,categoryName,price,stars,boughtInLastMonth,isBestSeller,demand_score,demand_level,stars_norm,bought_norm,bs_norm,price_norm,is_user_product
51835,Bwitch Red Lace  Briefs,Briefs,3689.35009765625,4.0,654,False,42.39,Medium,75.0,65.46546546546547,0.0,29.105871200561523,False
27316,ADIDAS Men Victory League Fragrance Gift Set,Perfume and Body Mist,3058.1201171875,4.900000095367432,579,True,74.65,High,97.5,57.95795795795796,100.0,43.137325286865234,False
51178,Raymond Men Grey Socks,Socks,4133.47998046875,4.400000095367432,222,False,31.61,Low,85.0,22.22222222222222,0.0,19.233423233032227,False
38583,Nike Men Printed Grey T-shirt,Tshirts,2169.3798828125,4.699999809265137,547,True,77.54,High,92.49999237060547,54.75475475475476,100.0,62.89290237426758,False
30858,Fabindia Women Striped Black Kurta,Kurtas,4097.3701171875,4.900000095367432,902,True,76.96,High,97.5,90.29029029029029,100.0,20.036102294921875,False
29913,Police Women Black Dial Chronograph Watch PL12207MSTB-02M,Watches,2999.43994140625,3.5,823,False,47.33,Medium,62.5,82.38238238238237,0.0,44.441707611083984,False
34562,Puma Women Originals Mono Yellow Handbag,Handbags,1827.6800537109375,4.900000095367432,288,True,74.2,High,97.5,28.82882882882883,100.0,70.48844909667969,False
9973,Nike Men As Arsenal Co White Sweatshirts,Sweatshirts,4516.35009765625,3.700000047683716,225,False,25.19,Low,67.5,22.52252252252252,0.0,10.722702980041504,False
24700,Puma Women Yugorun Black Casual Shoes,Casual Shoes,1819.8900146484375,4.099999904632568,281,False,44.07,Medium,77.5,28.128128128128125,0.0,70.66161346435547,False
2143,Basics Men Blue Striped Polo T-shirt,Tshirts,771.2000122070312,3.9000000953674316,956,False,65.54,High,72.5,95.69569569569569,0.0,93.9726791381836,False
31642,Indigo Nation Men Black Shirt,Shirts,4696.5,4.199999809265137,468,False,33.39,Low,79.99999237060547,46.846846846846844,0.0,6.718194484710693,False
16552,Basics Men Grey Printed Polo T-shirt,Tshirts,1785.6800537109375,4.199999809265137,843,False,58.95,Medium,79.99999237060547,84.38438438438438,0.0,71.42206573486328,False
2547,Numero Uno Men's Casual Graphic Green Flip Flop,Flip Flops,2906.60009765625,3.9000000953674316,889,False,52.0,Medium,72.5,88.988988988989,0.0,46.50542068481445,False
21137,s.Oliver Women Stripes Grey Sweater,Sweaters,606.6799926757812,4.599999904632568,964,True,96.03,High,90.0,96.49649649649649,100.0,97.62975311279297,False
13152,Puma Men Scribble White Tshirts,Tshirts,4755.990234375,4.699999809265137,509,True,62.21,High,92.49999237060547,50.95095095095095,100.0,5.39579963684082,False
11083,Scullers Men Check Blue Shirts,Shirts,4163.93994140625,3.700000047683716,747,False,40.21,Medium,67.5,74.77477477477478,0.0,18.556339263916016,False
26987,Jealous 21 Women Black Shorts,Shorts,3637.43994140625,4.099999904632568,728,False,45.16,Medium,77.5,72.87287287287288,0.0,30.259769439697266,False
56022,Colorbar Flamingo Soft Touch Lipstick 033,Lipstick,4831.009765625,3.5999999046325684,488,False,29.39,Low,65.0,48.848848848848846,0.0,3.728210926055908,False
19262,Guess Women Mini Rock Candy Gold Watch,Watches,4890.25,4.900000095367432,362,True,59.04,Medium,97.5,36.23623623623624,100.0,2.4113714694976807,False
26820,Highlander Men Navy Blue Trousers,Trousers,4311.35986328125,4.400000095367432,58,False,26.52,Low,85.0,5.805805805805806,0.0,15.279376983642578,False
9392,Nike Women Dow 3 Lea White Sports Shoe,Sports Shoes,4500.5,4.099999904632568,195,False,27.02,Low,77.5,19.51951951951952,0.0,11.075031280517578,False
9790,Puma Women Large Logo Purple Tshirts,Tshirts,3728.320068359375,4.300000190734863,217,False,33.12,Low,82.50000762939453,21.72172172172172,0.0,28.239620208740234,False
26151,John Miller Men Navy Blue Trousers,Trousers,2750.889892578125,3.9000000953674316,809,False,50.86,Medium,72.5,80.98098098098097,0.0,49.9666633605957,False
10442,Flying Machine Men HS True Blue Tshirts,Tshirts,1391.8800048828125,5.0,127,True,73.22,High,100.0,12.712712712712712,100.0,80.17574310302734,False
58656,ALayna Women Red Kurta,Kurtas,3110.389892578125,3.799999952316284,781,False,47.54,Medium,70.0,78.17817817817819,0.0,41.975425720214844,False
30018,Kenneth Cole Women White Watch,Watches,778.1400146484375,3.799999952316284,395,False,50.84,Medium,70.0,39.53953953953954,0.0,93.81840515136719,False
26144,John Miller Men Striped Black Trousers,Trousers,2670.010009765625,4.300000190734863,698,False,51.03,Medium,82.50000762939453,69.86986986986987,0.0,51.764522552490234,False
13713,Proline Men Grey Polo Tshirt,Tshirts,4821.64990234375,4.800000190734863,134,True,53.09,Medium,95.00000762939453,13.413413413413414,100.0,3.9362668991088867,False
51423,Myntra Men Orange Check Shirt,Shirts,1111.699951171875,3.9000000953674316,917,False,62.67,High,72.5,91.7917917917918,0.0,86.40379333496094,False
17093,Lino Perros Women Flower DK.Brown Wallet,Wallets,3416.4599609375,4.5,116,False,33.57,Low,87.5,11.611611611611613,0.0,35.171878814697266,False
43164,Fastrack Men Black Watch,Watches,3428.550048828125,4.0,720,False,45.49,Medium,75.0,72.07207207207207,0.0,34.90312576293945,False
50387,Miss Sixty Black Dial Watch,Watches,4277.33984375,4.099999904632568,129,False,26.61,Low,77.5,12.912912912912914,0.0,16.035598754882812,False
49611,Catwalk Women Olive Flats,Heels,3612.39990234375,4.599999904632568,264,True,61.81,High,90.0,26.426426426426424,100.0,30.816375732421875,False
41788,Remanika Women Black Top,Tops,2951.969970703125,4.699999809265137,188,True,64.2,High,92.49999237060547,18.81881881881882,100.0,45.49690628051758,False
17093,Lino Perros Women Flower DK.Brown Wallet,Wallets,3416.4599609375,4.5,116,False,33.57,Low,87.5,11.611611611611613,0.0,35.171878814697266,False
4678,ADIDAS Men Predator Black Red Backpack,Backpacks,2732.989990234375,4.400000095367432,779,False,53.34,Medium,85.0,77.97797797797797,0.0,50.36455535888672,False
9821,Little Miss Women Printed Purple T-shirt,Tshirts,3367.409912109375,3.799999952316284,141,False,30.09,Low,70.0,14.114114114114114,0.0,36.2621955871582,False
32625,Nike Men Miler Red T-shirt,Tshirts,4640.169921875,3.700000047683716,555,False,32.76,Low,67.5,55.55555555555556,0.0,7.970338821411133,False
